year,ticker,ebit,revenue,margin
2021,AAPL,nan,nan,nan
2021,AMD,nan,nan,nan
2021,AVGO,nan,nan,nan
2021,HPE,nan,nan,nan
2021,HPQ,nan,nan,nan
2021,IBM,nan,nan,nan
2021,LSCC,nan,nan,nan
2021,META,nan,nan,nan
2021,MU,nan,nan,nan
2021,NOW,nan,nan,nan
2021,QCOM,nan,nan,nan
2021,SHOP,nan,nan,nan
2021,SWKS,nan,nan,nan
2021,TSLA,nan,nan,nan
2021,TSM,nan,nan,nan
2022,AAPL,119437000000.0,394328000000.0,0.30288744395528594
2022,ADBE,6120000000.0,17606000000.0,0.3476087697375895
2022,AMD,1272000000.0,23601000000.0,0.05389602135502733
2022,AMZN,-3569000000.0,513983000000.0,-0.00694380942560357
2022,ANET,1527106000.0,4381310000.0,0.3485500911827741
2022,AVGO,14171000000.0,33203000000.0,0.4267987832424781
2022,CRM,nan,nan,nan
2022,DELL,nan,nan,nan
2022,GOOGL,71685000000.0,282836000000.0,0.25345076298632424
2022,HPE,2227000000.0,28496000000.0,0.07815131948343627
2022,HPQ,4683000000.0,62910000000.0,0.07443967572722937
2022,IBM,2372000000.0,60530000000.0,0.03918717991078804
2022,INTC,8264000000.0,63054000000.0,0.13106226409109653
2022,LSCC,190429000.0,660356000.0,0.28837324110025503
2022,META,29004000000.0,116609000000.0,0.24872865730775498
2022,MRVL,nan,nan,nan
2022,MSFT,85779000000.0,198270000000.0,0.4326373127553336
2022,MU,9760000000.0,30758000000.0,0.31731582027440014
2022,NOW,355000000.0,7245000000.0,0.04899930986887509
2022,NVDA,nan,nan,nan
2022,QCOM,15488000000.0,44200000000.0,0.3504072398190045
2022,SHOP,-687000000.0,5600000000.0,-0.12267857142857143
2022,SMCI,343246000.0,5196099000.0,0.06605840265937966
2022,SWKS,1524500000.0,5485500000.0,0.2779145018685626
2022,TSLA,13910000000.0,81462000000.0,0.17075446220323587
2022,TSM,1155822200000.0,2263891300000.0,0.5105466856999715
2023,AAPL,114301000000.0,383285000000.0,0.2982141226502472
2023,ADBE,6912000000.0,19409000000.0,0.3561234478850018
2023,AMD,598000000.0,22680000000.0,0.0263668430335097
2023,AMZN,40739000000.0,574785000000.0,0.07087693659368285
2023,ANET,2257300000.0,5860200000.0,0.38519163168492543
2023,AVGO,16719000000.0,35819000000.0,0.46676344956587285
2023,CRM,1858000000.0,31352000000.0,0.0592625669813728
2023,DELL,4506000000.0,102301000000.0,0.044046490259137254
2023,GOOGL,86025000000.0,307394000000.0,0.2798525670637683
2023,HPE,2442000000.0,29135000000.0,0.08381671529088724
2023,HPQ,3621000000.0,53718000000.0,0.06740757288059868
2023,IBM,10297000000.0,61860000000.0,0.1664565147106369
2023,INTC,1640000000.0,54228000000.0,0.03024267905878882
2023,LSCC,214178000.0,737154000.0,0.29054715839566764
2023,META,47874000000.0,134902000000.0,0.35487983869772133
2023,MRVL,255700000.0,5919600000.0,0.04319548618149875
2023,MSFT,91279000000.0,211915000000.0,0.43073402071585304
2023,MU,-5270000000.0,15540000000.0,-0.33912483912483915
2023,NOW,762000000.0,8971000000.0,0.08494036339315572
2023,NVDA,4443000000.0,26974000000.0,0.16471416919997034
2023,QCOM,8137000000.0,35820000000.0,0.2271635957565606
2023,SHOP,74000000.0,7060000000.0,0.010481586402266289
2023,SMCI,764788000.0,7123482000.0,0.10736154032536335
2023,SWKS,1143200000.0,4772400000.0,0.23954404492498532
2023,TSLA,10129000000.0,96773000000.0,0.10466762423403222
2023,TSM,991315900000.0,2161735800000.0,0.4585740311096296
2023,WDAY,-158000000.0,6216000000.0,-0.02541827541827542
2024,AAPL,123216000000.0,391035000000.0,0.31510222870075566
2024,ADBE,7100000000.0,21505000000.0,0.3301557777261102
2024,AMD,2081000000.0,25785000000.0,0.08070583672677914
2024,AMZN,71020000000.0,637959000000.0,0.1113237684553396
2024,ANET,2944600000.0,7003100000.0,0.42047093430052407
2024,AVGO,13869000000.0,51574000000.0,0.2689145693566526
2024,CRM,5999000000.0,34857000000.0,0.17210316435723097
2024,DELL,5588000000.0,88425000000.0,0.0631947978512864
2024,GOOGL,120083000000.0,350018000000.0,0.34307664177270886
2024,HPE,2494000000.0,30127000000.0,0.08278288578351645
2024,HPQ,3886000000.0,53559000000.0,0.07255549954256055
2024,IBM,7509000000.0,62753000000.0,0.11965961786687489
2024,INTC,-10176000000.0,53101000000.0,-0.19163480913730438
